"id","question","created_at","updated_at"
"1","What is an eight-sided sign?","2020-07-17 01:29:17.209341","2020-07-17 01:29:17.209341"
"2","Never park within what distance of a stop sign?","2020-07-17 01:29:17.264703","2020-07-17 01:29:17.264703"
"3","What is the first impairment when drinking alcohol?","2020-07-17 01:29:17.310448","2020-07-17 01:29:17.310448"
"4","What is the legal limit of intoxication for a person under the age of 21?","2020-07-17 01:29:17.372996","2020-07-17 01:29:17.372996"
"5","When approaching a blinking yellow light, what should you do?","2020-07-17 01:29:17.421747","2020-07-17 01:29:17.421747"
"6","What is the minimum following distance behind another vehicle?","2020-07-17 01:29:17.466955","2020-07-17 01:29:17.466955"
"7","When parking uphill with a curb, which way should your wheels be pointed?","2020-07-17 01:29:17.516331","2020-07-17 01:29:17.516331"
"8","If your gas pedal sticks, what is the first thing you should do?","2020-07-17 01:29:17.561679","2020-07-17 01:29:17.561679"
"9","You never park more than what distance from the curb?","2020-07-17 01:29:17.620037","2020-07-17 01:29:17.620037"
"10","The legal limit of intoxication for someone over age 21 is:","2020-07-17 01:29:17.664393","2020-07-17 01:29:17.664393"
"11","When your car pulls to one side while stopping, you should check:","2020-07-17 01:29:17.705465","2020-07-17 01:29:17.705465"
"12","How far ahead should you look while driving in the city?","2020-07-17 01:29:17.755654","2020-07-17 01:29:17.755654"
"13","If the speed limit is 45 and it's raining, you should reduce to what speed?","2020-07-17 01:29:17.773372","2020-07-17 01:29:17.773372"
"14","If your car begins to hydroplane, what is the first thing you should do?","2020-07-17 01:29:17.824579","2020-07-17 01:29:17.824579"
"15","In inclement weather, you must:","2020-07-17 01:29:17.870692","2020-07-17 01:29:17.870692"
"16","How far away should you signal when you turn?","2020-07-17 01:29:17.923175","2020-07-17 01:29:17.923175"
"17","A stop sign is:","2020-07-17 01:29:17.967156","2020-07-17 01:29:17.967156"
"18","How do you signal another driver that their high beams are on?","2020-07-17 01:29:18.010965","2020-07-17 01:29:18.010965"
"19","If you are being blinded by oncoming lights, what should you do?","2020-07-17 01:29:18.066756","2020-07-17 01:29:18.066756"
"20","What does a triangular shaped sign mean?","2020-07-17 01:29:18.108038","2020-07-17 01:29:18.108038"
"21","If you have a broken yellow line on your side of the road:","2020-07-17 01:29:18.1239","2020-07-17 01:29:18.1239"
"22","In which of the following situations may you pass a school bus that is picking up or dropping off children?","2020-07-17 01:29:18.169156","2020-07-17 01:29:18.169156"
"23","What are the four groups of signs in the United States Highway Transportation System?","2020-07-17 01:29:18.215975","2020-07-17 01:29:18.215975"
"24","At an intersection with a four-way stop, which driver can go first?","2020-07-17 01:29:18.268525","2020-07-17 01:29:18.268525"
"25","How far ahead should you look when you are on the open highway?","2020-07-17 01:29:18.316511","2020-07-17 01:29:18.316511"
"26","Why shouldn't you rely on another driver's signal light to know they are turning?","2020-07-17 01:29:18.361007","2020-07-17 01:29:18.361007"
"27","You come to the sharp crest of a hill. What should you do?","2020-07-17 01:29:18.378015","2020-07-17 01:29:18.378015"
"28","When a large truck wants to pass you, what should you do?","2020-07-17 01:29:18.428218","2020-07-17 01:29:18.428218"
"29","Under most conditions what is a safe following distance?","2020-07-17 01:29:18.478497","2020-07-17 01:29:18.478497"
"30","How many drinks of alcohol does it take to affect your driving?","2020-07-17 01:29:18.555283","2020-07-17 01:29:18.555283"
"31","Why should you clean your headlights?","2020-07-17 01:29:18.57203","2020-07-17 01:29:18.57203"
"32","A traffic light with a flashing red signal means?","2020-07-17 01:29:18.621377","2020-07-17 01:29:18.621377"
"33","Drivers must yield to pedestrians:","2020-07-17 01:29:18.663902","2020-07-17 01:29:18.663902"
"34","Speed limit signs:","2020-07-17 01:29:18.716228","2020-07-17 01:29:18.716228"
"35","If your vehicle has a two-part safety belt system you should:","2020-07-17 01:29:18.760529","2020-07-17 01:29:18.760529"
"36","If it feels like your tires have lost traction with the road during rain:","2020-07-17 01:29:18.77622","2020-07-17 01:29:18.77622"
"37","The blind spots where trucks will not be able to see you are?","2020-07-17 01:29:18.819587","2020-07-17 01:29:18.819587"
"38","A pedestrian with a white cane is:","2020-07-17 01:29:18.861556","2020-07-17 01:29:18.861556"
"39","When you are behind a motorcycle, you should:","2020-07-17 01:29:18.917844","2020-07-17 01:29:18.917844"
"40","You are not permitted to use your horn while driving...","2020-07-17 01:29:18.959225","2020-07-17 01:29:18.959225"
"41","What should you do if you see a stray animal in front of your path?","2020-07-17 01:29:18.975357","2020-07-17 01:29:18.975357"
"42","What should you do if your vision is impaired by inclement weather?","2020-07-17 01:29:19.024895","2020-07-17 01:29:19.024895"
"43","There is an emergency vehicle coming from behind you with emergency lights on and flashing. You should:","2020-07-17 01:29:19.067895","2020-07-17 01:29:19.067895"
"44","Reaction time is slower after:","2020-07-17 01:29:19.121996","2020-07-17 01:29:19.121996"
"45","If you get angry or upset, you should:","2020-07-17 01:29:19.169717","2020-07-17 01:29:19.169717"
"46","While being passed in a passing zone, you should:","2020-07-17 01:29:19.22094","2020-07-17 01:29:19.22094"
"47","When you approach a traffic signal displaying a steady yellow light you must:","2020-07-17 01:29:19.266268","2020-07-17 01:29:19.266268"
"48","You may not park within how many feet of a fire hydrant?","2020-07-17 01:29:19.311825","2020-07-17 01:29:19.311825"
"49","You should stop for a school bus:","2020-07-17 01:29:19.364978","2020-07-17 01:29:19.364978"
"50","On a road with two or more lanes traveling in the same direction, the driver should:","2020-07-17 01:29:19.407791","2020-07-17 01:29:19.407791"
"51","If you are being tailgated, the best thng to do is:","2020-07-17 01:29:19.457071","2020-07-17 01:29:19.457071"
"52","The traffic signal turns green signaling you to proceed; you should:","2020-07-17 01:29:19.473674","2020-07-17 01:29:19.473674"
"53","	A driver under 18 yrs. of age arrested for DUI who refuses to submit to a BAC test will have their license suspended for:","2020-07-17 01:29:19.522982","2020-07-17 01:29:19.522982"
"54","A solid yellow line on your side means:","2020-07-17 01:29:19.565527","2020-07-17 01:29:19.565527"
"55","An intersection has a stop sign, a stop line, and a crosswalk. Where should you stop your vehicle?","2020-07-17 01:29:19.609848","2020-07-17 01:29:19.609848"
"56","You are approaching a school bus which has stopped on the other side of a divided highway. You should:","2020-07-17 01:29:19.658465","2020-07-17 01:29:19.658465"
"57","In bad weather you should make your car easier for others to see by:","2020-07-17 01:29:19.675734","2020-07-17 01:29:19.675734"
"58","Your vehicle has a mechanical problem. You should:","2020-07-17 01:29:19.723236","2020-07-17 01:29:19.723236"
"59","If you drive too fast on a wet road, there is a danger that:","2020-07-17 01:29:19.767381","2020-07-17 01:29:19.767381"
"60","The following statements regarding the use of seat belts are true, with the EXCEPTION of:","2020-07-17 01:29:19.813786","2020-07-17 01:29:19.813786"
"61","To pass a truck you must:","2020-07-17 01:29:19.859581","2020-07-17 01:29:19.859581"
"62","You must pull over to the right and stop for an emergency vehicle with lights and sirens on:","2020-07-17 01:29:19.87877","2020-07-17 01:29:19.87877"
"63","When approaching a work zone watch for","2020-07-17 01:29:19.926543","2020-07-17 01:29:19.926543"
"64","Most work zones have signs alerting you to?","2020-07-17 01:29:20.008148","2020-07-17 01:29:20.008148"
"65","In a work zone which of the following is true?","2020-07-17 01:29:20.060113","2020-07-17 01:29:20.060113"
"66","Work zone speed limits are","2020-07-17 01:29:20.078173","2020-07-17 01:29:20.078173"
"67","Work zone signs are what color?","2020-07-17 01:29:20.126088","2020-07-17 01:29:20.126088"
"68","In Connecticut a driver under the age of 18","2020-07-17 01:29:20.168211","2020-07-17 01:29:20.168211"
"69","A distraction behind the wheel is","2020-07-17 01:29:20.216795","2020-07-17 01:29:20.216795"
"70","Possible distractions inside the car are","2020-07-17 01:29:20.259211","2020-07-17 01:29:20.259211"
"71","Things to keep you from being distracted are","2020-07-17 01:29:20.275449","2020-07-17 01:29:20.275449"
"72","In Connecticut, anyone endangering a highway worker within a work zone could face fines of up to ?","2020-07-17 01:29:20.322497","2020-07-17 01:29:20.322497"
"73","Which of the following is false about fatigue?","2020-07-17 01:29:20.365232","2020-07-17 01:29:20.365232"
"74","Warning signs of fatigue are","2020-07-17 01:29:20.420388","2020-07-17 01:29:20.420388"
"75","Which of the following ways helping to prevent fatigue is false?","2020-07-17 01:29:20.463661","2020-07-17 01:29:20.463661"
"76","Fatigue relate crashes tend to be what types of crashes?","2020-07-17 01:29:20.507749","2020-07-17 01:29:20.507749"
"77","Which of the following health problems affect your ability to drive?","2020-07-17 01:29:20.554621","2020-07-17 01:29:20.554621"
"78","The following statement about emotions and driving is false","2020-07-17 01:29:20.571758","2020-07-17 01:29:20.571758"
"79","Which of the following are ways to deal with emotions in relation to driving?","2020-07-17 01:29:20.619368","2020-07-17 01:29:20.619368"
"80","Which of the following exceptions to cell phone use is false?","2020-07-17 01:29:20.6643","2020-07-17 01:29:20.6643"
"81","A ""Mobile electronic Device"" includes the following","2020-07-17 01:29:20.708019","2020-07-17 01:29:20.708019"
"82","In Connecticut which of the following applies to seat belt laws?","2020-07-17 01:29:20.754662","2020-07-17 01:29:20.754662"
"83","In Connecticut the laws in regard to proper child restraint system states what?","2020-07-17 01:29:20.771976","2020-07-17 01:29:20.771976"
"84","	In Connecticut the law applies to which of the following in regards to a child restraint system?","2020-07-17 01:29:20.815627","2020-07-17 01:29:20.815627"
"85","Connecticut law requires the following in regards to a child restraint system","2020-07-17 01:29:20.856853","2020-07-17 01:29:20.856853"
"86","The Connecticut the child restraint systems law is which of the following?","2020-07-17 01:29:20.872957","2020-07-17 01:29:20.872957"
"87","The ""Zero Tolerance Law"" applies to what age group and what BAC does it refer to?","2020-07-17 01:29:20.920979","2020-07-17 01:29:20.920979"
"88","The license restoration fee for a suspended license is how much?","2020-07-17 01:29:20.96339","2020-07-17 01:29:20.96339"
"89","Someone under the age of 18 who commits the following cannot be considered a youthful offender","2020-07-17 01:29:21.015157","2020-07-17 01:29:21.015157"
"90","Under Connecticut's GDL laws what is the suspension period and license restoration fee for use of a cell phone/text messaging device for a 16 and 17 year old driver on a first offense?","2020-07-17 01:29:21.056654","2020-07-17 01:29:21.056654"
"91","Under Connecticut's GDL laws on a first offense for 16 and 17 year old drivers who are driving recklessly the suspension, license restoration fee and imprisonment times are what?","2020-07-17 01:29:21.075314","2020-07-17 01:29:21.075314"
"92","Under Connecticut's GDL laws what are the suspension and license restoration fee for a 16 and 17 year licensed driver violating the posted speed limit of 20mph or more on a first offense?","2020-07-17 01:29:21.127137","2020-07-17 01:29:21.127137"
"93","Under Connecticut's GDL laws, 16 and 17 year olds violating the following will result in a 30-Day suspension, $175 restoration fee and court fines of their license.","2020-07-17 01:29:21.16869","2020-07-17 01:29:21.16869"
"94","Which of the following is a reason that may require a 16 or 17 year old driver to take a retraining program?","2020-07-17 01:29:21.220106","2020-07-17 01:29:21.220106"
"95","A pennant shaped sign means?","2020-07-17 01:29:21.265343","2020-07-17 01:29:21.265343"
"96","A pentagon shaped sign means?","2020-07-17 01:29:21.312419","2020-07-17 01:29:21.312419"
"97","A circular road sign means?","2020-07-17 01:29:21.359218","2020-07-17 01:29:21.359218"
"98","A parking sign displaying a wheel chair means?","2020-07-17 01:29:21.376776","2020-07-17 01:29:21.376776"
"99","A diamond shaped sign showing a person walking is?","2020-07-17 01:29:21.42726","2020-07-17 01:29:21.42726"
"100","Passenger restrictions apply to 16 and 17 year-old license holders who have received their license on or after August 1, 2008 for what length of time?","2020-07-17 01:29:21.468323","2020-07-17 01:29:21.468323"
"101","As of August 1, 2008, what is the nighttime curfew for 16 and 17 year olds?","2020-07-17 01:29:21.510597","2020-07-17 01:29:21.510597"
"102","When used on roadways, bicyclists are considered:","2020-07-17 01:29:21.554596","2020-07-17 01:29:21.554596"
"103","Motorcycle/scooter/moped operators:","2020-07-17 01:29:21.569012","2020-07-17 01:29:21.569012"
"104","To make a right turn, you should:","2020-07-17 01:29:21.621555","2020-07-17 01:29:21.621555"
"105","To make a left turn, you should:","2020-07-17 01:29:21.662968","2020-07-17 01:29:21.662968"
"106","Signs or lane markings that indicate a No Passing Zone tel you that:","2020-07-17 01:29:21.678855","2020-07-17 01:29:21.678855"
"107","To pass a two-lane road, you should:","2020-07-17 01:29:21.724713","2020-07-17 01:29:21.724713"
"108","After passing, you should move back the right when:","2020-07-17 01:29:21.762885","2020-07-17 01:29:21.762885"
"109","You can pass a vehicle ahead, if it is safe to do so, when:","2020-07-17 01:29:21.777136","2020-07-17 01:29:21.777136"
"110","To enter a gap in highway traffic:","2020-07-17 01:29:21.83116","2020-07-17 01:29:21.83116"
"111","To enter highway traffic, you need at least:","2020-07-17 01:29:21.867104","2020-07-17 01:29:21.867104"
"112","To avoid merging traffic from the right, the best thing to do is:","2020-07-17 01:29:21.905103","2020-07-17 01:29:21.905103"
"113","Children on bicycles should be given even more space by motor vehicle operators because:","2020-07-17 01:29:21.92343","2020-07-17 01:29:21.92343"
"114","When a bicyclist is making a left hand turn:","2020-07-17 01:29:21.962917","2020-07-17 01:29:21.962917"
"115","Fatigue increases the risk of:","2020-07-17 01:29:21.977045","2020-07-17 01:29:21.977045"
"116","A drive distraction is:","2020-07-17 01:29:22.022905","2020-07-17 01:29:22.022905"
"117","If you are 16 or 17 years old and after you have held a license for 6 months, which one of the following passengers cannot be in the vehicle when you are driving?","2020-07-17 01:29:22.065505","2020-07-17 01:29:22.065505"
"118","You see pedestrians near the road. You should:","2020-07-17 01:29:22.108608","2020-07-17 01:29:22.108608"
"119","if a tire blows out you should:","2020-07-17 01:29:22.154551","2020-07-17 01:29:22.154551"
"120","Referring to the steering wheel as a clock face, the normal hand position for driving should be:","2020-07-17 01:29:22.168322","2020-07-17 01:29:22.168322"
"121","if you are about to be hit from the rear, you should consider each of the following with the exception of:","2020-07-17 01:29:22.20954","2020-07-17 01:29:22.20954"
"122","If you are about to be hit from the rear, what should you NOT do?","2020-07-17 01:29:22.227721","2020-07-17 01:29:22.227721"
"123","A yellow arrow on a traffic signal means:","2020-07-17 01:29:22.274607","2020-07-17 01:29:22.274607"
"124","While driving on packed snow you should reduce your speed by:","2020-07-17 01:29:22.321086","2020-07-17 01:29:22.321086"
"125","While being passed in a no passing zone you should:","2020-07-17 01:29:22.362082","2020-07-17 01:29:22.362082"
"126","If weather or light conditions require you to have your lights on:","2020-07-17 01:29:22.378053","2020-07-17 01:29:22.378053"
"127","It is dangerous to follow a motorcycle too closely because:","2020-07-17 01:29:22.425052","2020-07-17 01:29:22.425052"
"128","If you see a distracted driver, you should give that distracted driver plenty of room and maintain a safe following distance of:","2020-07-17 01:29:22.464583","2020-07-17 01:29:22.464583"
"129","If you see a pedestrian using a guide dog or carrying a white cane:","2020-07-17 01:29:22.50875","2020-07-17 01:29:22.50875"
"130","You should NOT use your horn when","2020-07-17 01:29:22.526965","2020-07-17 01:29:22.526965"
"131","The penalty for a 16/17 year old driver convicted of violating the electric device (cell phone) law will result in:","2020-07-17 01:29:22.566641","2020-07-17 01:29:22.566641"
"132","In work zones, barriers, such as drums, cones, and tubes are used to:","2020-07-17 01:29:22.605595","2020-07-17 01:29:22.605595"
"133","In work zones, you should:","2020-07-17 01:29:22.624309","2020-07-17 01:29:22.624309"
"134","Fines for speeding or other illegal behavior in work zones:","2020-07-17 01:29:22.66272","2020-07-17 01:29:22.66272"
"135","If there are no reduced speed limit signs clearly posted within a work zone:","2020-07-17 01:29:22.681615","2020-07-17 01:29:22.681615"
"136","Construction zone signs are generally:","2020-07-17 01:29:22.722938","2020-07-17 01:29:22.722938"
